
Time; Magnitude; Temperature; Reference Altitude; Current Altitude; Pressure; Ejected?
37; 1.01; 28.8; 0.00; -0.05; 1018.88; No
37; 1.01; 29.3; 0.00; 0.00; 1018.86; No
38; 1.01; 29.3; 0.00; 0.08; 1018.83; No
38; 1.01; 29.3; 0.00; 0.01; 1018.86; No
38; 1.01; 28.8; 0.00; 0.04; 1018.85; No
38; 1.01; 29.3; 0.00; 0.01; 1018.86; No
38; 1.02; 28.8; 0.00; 1.13; 1018.45; No
38; 1.00; 29.3; 0.00; 0.04; 1018.87; No
38; 1.02; 29.3; 0.00; 0.00; 1018.86; No
38; 1.01; 29.3; 0.00; 0.08; 1018.84; No
38; 1.01; 28.8; 0.00; 2.04; 1018.13; No
38; 1.00; 28.8; 0.00; -0.02; 1018.87; No
39; 1.01; 28.8; 0.00; 0.00; 1018.86; No
39; 1.01; 29.3; 0.00; -0.01; 1018.86; No
39; 1.01; 28.8; 0.00; 0.02; 1018.86; No
